Date,Address,City,State,lon,lat,Killed,Injured
"July 5, 2017",Jefferson Street and West St. Julian Street,Savannah,Georgia,-81.09496,32.08082,0,4
"July 5, 2017",11000 block of S Eberhart,Chicago (Roseland),Illinois,-87.61125,41.6945,2,2
"July 5, 2017",300 block of Russell Rd,Madison,Maine,-69.78733,44.79059,4,1
"July 4, 2017",501 W Lancaster Rd,Orlando (Pine Castle),Florida,-81.38283,28.46561,0,4
"July 4, 2017",500 block of Patterson Ave,Hampton,Virginia,-76.36065,37.03253,1,4
"July 4, 2017",105 E South St,Raleigh,North Carolina,-78.63798,35.77241,1,3
"July 3, 2017",112 US 82,Prattville,Alabama,-86.47255,32.43812,3,1
"July 3, 2017",50 block of Thorpe St,Pontiac,Michigan,-83.31156,42.63715,1,3
"July 2, 2017",Wilkinson Avenue,Jersey City,New Jersey,-74.08044,40.70633,0,4
"July 2, 2017",SC 72 Bypass,Greenwood,South Carolina,-82.1618,34.19528,0,4
"July 1, 2017",2727 S 13000 Rd E,Momence,Illinois,-87.6198,41.08524,0,4
"July 1, 2017",Lincoln Park and Pennsylvania Avenue,Newark,New Jersey,-74.17964,40.72589,2,2
"July 1, 2017",3200 Humboldt Ave,Oakland,California,-122.20674,37.79207,0,4
"July 1, 2017",220 W 6th St,Little Rock,Arkansas,-92.27276,34.74337,0,25
"June 30, 2017",1650 Grand Concourse,Bronx,New York,-73.91104,40.84347,2,6
"June 27, 2017",200 block of S Lotus,Chicago,Illinois,-87.76191,41.87809,0,5
"June 25, 2017",5900 block of Southern Ave SE,Washington,District of Columbia,-76.91502,38.88848,0,4
"June 25, 2017",5000 block of Thekla Ave,Saint Louis,Missouri,-90.24198,38.68856,1,3
"June 24, 2017",2335 NW 16th Ct,Fort Lauderdale,Florida,-80.17343,26.14688,1,4
"June 24, 2017",114th St and Manhattan Ave,New York (Manhattan),New York,-73.95778,40.80374,0,5
"June 24, 2017",Pastoral Lane,Willingboro,New Jersey,-74.89726,40.03295,0,4
"June 22, 2017",1100 block of Osborne Street,Atlanta,Georgia,-84.42392,33.70416,1,6
"June 18, 2017",1900 block of N 14th St,Saint Louis,Missouri,-90.19386,38.64437,3,2
"June 18, 2017",3100 block of Buena Vista Terrace SE,Washington,District of Columbia,-76.96568,38.85237,0,4
"June 18, 2017",3300 block of W Crystal,Chicago,Illinois,-87.70943,41.90399,0,4
"June 18, 2017",311 N Ocean Blvd,Myrtle Beach,South Carolina,-78.88538,33.68667,0,7
"June 17, 2017",6252 Busch Blvd,Columbus,Ohio,-82.99217,40.09363,1,4
"June 17, 2017",1 block of North Latrobe,Chicago,Illinois,-87.75628,41.8804,0,4
"June 15, 2017",491 NM 111,La Madera,New Mexico,-106.0412,36.38401,5,0
"June 15, 2017",4053 Old Brook Road,Richmond,Virginia,-77.44591,37.5909,1,3
"June 14, 2017",14th St. NE and Gibbs Ave. NE,Canton,Ohio,-81.36271,40.81127,0,4
"June 14, 2017",420 E Monroe Ave,Alexandria,Virginia,-77.05434,38.8214,1,5
"June 14, 2017",720 San Bruno,San Francisco,California,-122.405,37.75963,4,2
"June 13, 2017",3300 block of Ayrdale Avenue,Baltimore,Maryland,-76.68159,39.32627,0,4
"June 13, 2017",1200 block of Bonaparte Avenue,Baltimore,Maryland,-76.59981,39.31551,2,2
"June 13, 2017",Ferguson Ave and Plymouth Ave,Saint Louis (University City),Missouri,-90.30998,38.66917,0,4
"June 11, 2017",3300 block of W Douglas Blvd,Chicago,Illinois,-87.70819,41.86329,0,9
"June 11, 2017",4272 Bonny Oaks Drive,Chattanooga,Tennessee,-85.21389,35.08043,0,4
"June 11, 2017",505 Cypress Station Dr,Houston,Texas,-95.43729,30.03013,0,4
"June 10, 2017",571 East Street,Memphis,Tennessee,-90.03141,35.13136,0,4
"June 9, 2017",East Davis Avenue and New York Avenue,Fort Worth,Texas,-97.31569,32.72087,2,5
"June 8, 2017",3650 Franklin Ave,New Orleans,Louisiana,-90.05008,29.99657,0,6
"June 6, 2017",2232 Alta Canyon Drive,Sandy,Utah,-111.8267,40.59401,3,2
"June 5, 2017",2427 Forsyth Rd,Orlando,Florida,-81.29344,28.57983,6,0
"June 3, 2017",1600 Block of Union Blvd,Saint Louis,Missouri,-90.26717,38.66653,2,2
"June 3, 2017",3717 Tulane Ave,New Orleans,Louisiana,-90.10164,29.96726,3,2
"June 2, 2017",5301 McPherson Rd,Laredo,Texas,-99.48204,27.54509,2,3
"June 2, 2017",89th St and Broadway,Los Angeles,California,-118.2782,33.95552,1,3
"June 1, 2017",Beacon Ave and Lillian Ave,Saint Louis,Missouri,-90.25224,38.69429,3,1
