Location,Year,Rate
Wisconsin,1990,24.7
Wisconsin,1992,23.8
Wisconsin,1993,22.9
Wisconsin,1995,21.8
Wisconsin,1996,24.9
Wisconsin,1997,23.2
Wisconsin,1998,23.4
Wisconsin,1999,23.7
Wisconsin,2000,24.1
Wisconsin,2001,23.6
Wisconsin,2002,23.3
Wisconsin,2003,22
Wisconsin,2004,21.9
Wisconsin,2005,20.7
Wisconsin,2006,20.8
Wisconsin,2007,19.6
Wisconsin,2008,19.8
Wisconsin,2009,18.8
Wyoming,1984,NA
Wyoming,1986,NA
Wyoming,1988,NA
Wyoming,1990,NA
Wyoming,1992,NA
Wyoming,1993,NA
Wyoming,1995,22
Wyoming,1996,24.6
Wyoming,1997,24
Wyoming,1998,22.8
Wyoming,1999,23.9
Wyoming,2000,23.8
Wyoming,2001,22.2
Wyoming,2002,23.7
Wyoming,2003,24.6
Wyoming,2004,21.7
Wyoming,2005,21.3
Wyoming,2006,21.6
Wyoming,2007,22.1
Wyoming,2008,19.3
Wyoming,2009,19.9
